Dataset,Platform,Year,Month,Product name,ZIP filename,Acquisition start,Acquisition end,Selection rule,Notes
Sentinel-1,S1A,2022,2022-01,S1A_IW_GRDH_1SDV_20220114T061458_20220114T061523_041453_04EDC1_2D8E.SAFE,S1A_IW_GRDH_1SDV_20220114T061458_20220114T061523_041453_04EDC1_2D8E.zip,2022-01-14T06:14:58,2022-01-14T06:15:23,Closest to mid-month (15th),
Sentinel-1,S1A,2022,2022-02,S1A_IW_GRDH_1SDV_20220215T175809_20220215T175834_041927_04FE13_E25B.SAFE,S1A_IW_GRDH_1SDV_20220215T175809_20220215T175834_041927_04FE13_E25B.zip,2022-02-15T17:58:09,2022-02-15T17:58:34,Closest to mid-month (15th),
Sentinel-1,S1A,2022,2022-03,S1A_IW_GRDH_1SDV_20220315T061457_20220315T061522_042328_050BC0_8BD2_COG.SAFE,S1A_IW_GRDH_1SDV_20220315T061457_20220315T061522_042328_050BC0_8BD2_COG.zip,2022-03-15T06:14:57,2022-03-15T06:15:22,Closest to mid-month (15th),
Sentinel-1,S1A,2022,2022-04,S1A_IW_GRDH_1SDV_20220416T175810_20220416T175835_042802_051BD4_ED93.SAFE,S1A_IW_GRDH_1SDV_20220416T175810_20220416T175835_042802_051BD4_ED93.zip,2022-04-16T17:58:10,2022-04-16T17:58:35,Closest to mid-month (15th),
Sentinel-1,S1A,2022,2022-05,S1A_IW_GRDH_1SDV_20220514T061459_20220514T061524_043203_0528E4_8509.SAFE,S1A_IW_GRDH_1SDV_20220514T061459_20220514T061524_043203_0528E4_8509.zip,2022-05-14T06:14:59,2022-05-14T06:15:24,Closest to mid-month (15th),
Sentinel-1,S1A,2022,2022-06,S1A_IW_GRDH_1SDV_20220615T175814_20220615T175839_043677_0536EC_9F4A.SAFE,S1A_IW_GRDH_1SDV_20220615T175814_20220615T175839_043677_0536EC_9F4A.zip,2022-06-15T17:58:14,2022-06-15T17:58:39,Closest to mid-month (15th),
Sentinel-1,S1A,2022,2022-07,S1A_IW_GRDH_1SDV_20220716T175005_20220716T175030_044129_05446F_CE81.SAFE,S1A_IW_GRDH_1SDV_20220716T175005_20220716T175030_044129_05446F_CE81.zip,2022-07-16T17:50:05,2022-07-16T17:50:30,Closest to mid-month (15th),
Sentinel-1,S1A,2022,2022-08,S1A_IW_GRDH_1SDV_20220814T175818_20220814T175843_044552_055140_459A_COG.SAFE,S1A_IW_GRDH_1SDV_20220814T175818_20220814T175843_044552_055140_459A_COG.zip,2022-08-14T17:58:18,2022-08-14T17:58:43,Closest to mid-month (15th),
Sentinel-1,S1A,2022,2022-09,S1A_IW_GRDH_1SDV_20220914T175009_20220914T175034_045004_056078_98FE.SAFE,S1A_IW_GRDH_1SDV_20220914T175009_20220914T175034_045004_056078_98FE.zip,2022-09-14T17:50:09,2022-09-14T17:50:34,Closest to mid-month (15th),
Sentinel-1,S1A,2022,2022-10,S1A_IW_GRDH_1SDV_20221017T061507_20221017T061532_045478_057029_52A5_COG.SAFE,S1A_IW_GRDH_1SDV_20221017T061507_20221017T061532_045478_057029_52A5_COG.zip,2022-10-17T06:15:07,2022-10-17T06:15:32,Closest to mid-month (15th),
Sentinel-1,S1A,2022,2022-11,S1A_IW_GRDH_1SDV_20221115T062326_20221115T062351_045901_057DEE_649E_COG.SAFE,S1A_IW_GRDH_1SDV_20221115T062326_20221115T062351_045901_057DEE_649E_COG.zip,2022-11-15T06:23:26,2022-11-15T06:23:51,Closest to mid-month (15th),
Sentinel-1,S1A,2022,2022-12,S1A_IW_GRDH_1SDV_20221216T061505_20221216T061530_046353_058D48_6B85_COG.SAFE,S1A_IW_GRDH_1SDV_20221216T061505_20221216T061530_046353_058D48_6B85_COG.zip,2022-12-16T06:15:05,2022-12-16T06:15:30,Closest to mid-month (15th),
Sentinel-1,S1A,2023,2023-01,S1A_IW_GRDH_1SDV_20230114T062323_20230114T062348_046776_059B9B_4E06_COG.SAFE,S1A_IW_GRDH_1SDV_20230114T062323_20230114T062348_046776_059B9B_4E06_COG.zip,2023-01-14T06:23:23,2023-01-14T06:23:48,Closest to mid-month (15th),
Sentinel-1,S1A,2023,2023-02,S1A_IW_GRDH_1SDV_20230214T061503_20230214T061528_047228_05AABF_B16E_COG.SAFE,S1A_IW_GRDH_1SDV_20230214T061503_20230214T061528_047228_05AABF_B16E_COG.zip,2023-02-14T06:15:03,2023-02-14T06:15:28,Closest to mid-month (15th),
