Dataset,Platform,Year,Month,Product name,ZIP filename,Acquisition datetime,Cloud cover (%),Selection rule,Notes
Sentinel-2,S2A,2022,2022-01,S2A_MSIL2A_20220116T111411_N0510_R137_T30UXD_20240430T232839.SAFE,S2A_MSIL2A_20220116T111411_N0510_R137_T30UXD_20240430T232839.zip,2022-01-16T11:14:11,,"Lowest cloud cover; if unavailable, closest to mid-month (15th)",
Sentinel-2,S2B,2022,2022-02,S2B_MSIL2A_20220210T111109_N0510_R137_T30UXD_20240513T074211.SAFE,S2B_MSIL2A_20220210T111109_N0510_R137_T30UXD_20240513T074211.zip,2022-02-10T11:11:09,,"Lowest cloud cover; if unavailable, closest to mid-month (15th)",
Sentinel-2,S2B,2022,2022-03,S2B_MSIL2A_20220315T112109_N0510_R037_T30UXD_20240525T004740.SAFE,S2B_MSIL2A_20220315T112109_N0510_R037_T30UXD_20240525T004740.zip,2022-03-15T11:21:09,,"Lowest cloud cover; if unavailable, closest to mid-month (15th)",
Sentinel-2,S2A,2022,2022-04,S2A_MSIL2A_20220416T110621_N0510_R137_T30UXD_20240526T010916.SAFE,S2A_MSIL2A_20220416T110621_N0510_R137_T30UXD_20240526T010916.zip,2022-04-16T11:06:21,,"Lowest cloud cover; if unavailable, closest to mid-month (15th)",
Sentinel-2,S2B,2022,2022-05,S2B_MSIL2A_20220514T112109_N0510_R037_T30UXD_20240612T060809.SAFE,S2B_MSIL2A_20220514T112109_N0510_R037_T30UXD_20240612T060809.zip,2022-05-14T11:21:09,,"Lowest cloud cover; if unavailable, closest to mid-month (15th)",
Sentinel-2,S2A,2022,2022-06,S2A_MSIL2A_20220615T110631_N0510_R137_T30UXD_20240628T072158.SAFE,S2A_MSIL2A_20220615T110631_N0510_R137_T30UXD_20240628T072158.zip,2022-06-15T11:06:31,,"Lowest cloud cover; if unavailable, closest to mid-month (15th)",
Sentinel-2,S2B,2022,2022-07,S2B_MSIL2A_20220713T112119_N0510_R037_T30UXD_20240723T222750.SAFE,S2B_MSIL2A_20220713T112119_N0510_R037_T30UXD_20240723T222750.zip,2022-07-13T11:21:19,,"Lowest cloud cover; if unavailable, closest to mid-month (15th)",
Sentinel-2,S2A,2022,2022-08,S2A_MSIL2A_20220814T110631_N0510_R137_T30UXD_20240714T223729.SAFE,S2A_MSIL2A_20220814T110631_N0510_R137_T30UXD_20240714T223729.zip,2022-08-14T11:06:31,,"Lowest cloud cover; if unavailable, closest to mid-month (15th)",
Sentinel-2,S2A,2022,2022-09,S2A_MSIL2A_20220916T112121_N0510_R037_T30UXD_20240731T112829.SAFE,S2A_MSIL2A_20220916T112121_N0510_R037_T30UXD_20240731T112829.zip,2022-09-16T11:21:21,,"Lowest cloud cover; if unavailable, closest to mid-month (15th)",
Sentinel-2,S2A,2022,2022-10,S2A_MSIL2A_20221016T112121_N0510_R037_T30UXD_20240725T181354.SAFE,S2A_MSIL2A_20221016T112121_N0510_R037_T30UXD_20240725T181354.zip,2022-10-16T11:21:21,,"Lowest cloud cover; if unavailable, closest to mid-month (15th)",
